topic_code,topic_name,question_code,question_text,question_type,difficulty,expected_answer_summary,question_prompt_notes,followup_enabled,max_followups,confidence_low,confidence_mid_start,confidence_mid_end,confidence_high,published
neural_networks,Neural Networks,NN-001,What is a Neural Network inspired by?,MCQ,easy,The human brain and biological neurons,"Artificial Neural Networks (ANN) are inspired by how biological neurons in the human brain communicate. Just as neurons pass signals through synapses, artificial neurons pass weighted signals through layers.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-002,Which of the following is NOT a layer type in a basic Neural Network?,MCQ,easy,Processing Layer,"A basic Neural Network has three layer types: Input Layer (receives features), Hidden Layer(s) (processes and transforms data), and Output Layer (produces final prediction). There is no Processing Layer.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-003,What is the role of an Activation Function in a Neural Network?,MCQ,easy,To introduce non-linearity so the network can learn complex patterns,"Without activation functions, a neural network would just be a linear equation. Activation functions like ReLU, Sigmoid, and Tanh add non-linearity.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-004,What is the ReLU activation function formula?,MCQ,medium,"f(x) = max(0, x)","ReLU (Rectified Linear Unit) = max(0, x). It outputs x if x > 0, and 0 if x <= 0. Computationally efficient and avoids the vanishing gradient problem.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-005,What is Backpropagation in Neural Networks?,MCQ,medium,Algorithm to update weights by propagating error backwards from output to input,Backpropagation calculates the gradient of the loss function with respect to each weight using the chain rule.,false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-006,What is a Convolutional Neural Network (CNN) primarily used for?,MCQ,medium,Image and spatial data processing,"CNNs use convolutional layers to detect features in images. Standard choice for medical image analysis, X-ray classification, and tumour detection.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-007,What problem does the Dropout regularization technique solve?,MCQ,medium,Overfitting,"Dropout randomly deactivates neurons during training, preventing over-reliance on specific neurons and forcing more robust features.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-008,What is the Vanishing Gradient problem?,MCQ,hard,When gradients become extremely small during backpropagation making early layers learn very slowly,"In deep networks with sigmoid/tanh activations, gradients shrink and become tiny near input layers. ReLU and batch normalization help solve this.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-009,"In CNN architecture, what does a Pooling Layer do?",MCQ,hard,Reduces the spatial dimensions of the feature map while retaining important features,"Pooling reduces width and height of feature maps, lowering computational cost and controlling overfitting. Max Pooling preserves the most prominent features.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-010,What is the difference between a shallow and a deep neural network?,MCQ,hard,Shallow has 1 hidden layer; Deep has 2 or more hidden layers,Deep Learning uses multiple hidden layers allowing learning of increasingly abstract representations.,false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-011,A Neural Network with zero hidden layers is equivalent to Logistic Regression.,TrueFalse,easy,True,A neural network with no hidden layers and a sigmoid output is mathematically equivalent to Logistic Regression.,false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-012,Increasing the number of layers always improves a Neural Network performance.,TrueFalse,medium,False,"More layers can lead to overfitting, vanishing gradients, and slower training. The right depth depends on the problem and data size.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-013,CNNs are the standard architecture for medical image classification tasks.,TrueFalse,medium,True,"CNNs automatically learn spatial features and are used in X-ray classification, tumour detection, retinal diagnosis, and skin lesion classification.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-014,Batch Normalization speeds up training by normalizing inputs to each layer.,TrueFalse,hard,True,"Batch Normalization normalizes layer inputs to mean=0 and variance=1, reducing internal covariate shift and allowing higher learning rates.",false,0,0.3,0.4,0.7,0.7,true
neural_networks,Neural Networks,NN-015,Explain how a Neural Network learns with a simple analogy.,ShortAnswer,easy,A Neural Network learns like a student studying for an exam. Step 1 - Forward Pass: student gives an answer. Step 2 - Calculate Error: teacher marks it. Step 3 - Backpropagation: student identifies weak concepts. Step 4 - Weight Update: student studies those areas harder. Step 5 - Repeat for many epochs.,This forward-backward learning cycle is called an epoch. Multiple epochs gradually reduce the error.,true,2,0.3,0.4,0.7,0.7,true
