topic_code,topic_name,question_code,question_text,question_type,difficulty,expected_answer_summary,question_prompt_notes,followup_enabled,max_followups,confidence_low,confidence_mid_start,confidence_mid_end,confidence_high,published
system_design_advanced,System Design (Advanced),SDA-001,What is system design? Explain the complete process of system design and discuss why it is important in developing large-scale software applications.,ShortAnswer,medium,"System design converts business and technical requirements into a complete architecture covering component structure, communication, data storage, and request handling. It is critical for large-scale apps because a system that works for few users may fail under millions — requiring careful upfront planning for scalability, reliability, performance, and security.","Expect the candidate to define system design, describe the end-to-end process (requirements → architecture → component breakdown → technology choices), and explain why scale demands planning. Look for mentions of both functional and non-functional requirements.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-002,Explain the difference between functional and non-functional requirements in system design. Give suitable examples of each and discuss how they influence the overall architecture of a system.,ShortAnswer,medium,"Functional requirements define what the system does — e.g., user login, search, payments, order placement. Non-functional requirements define how well it performs — e.g., scalability, availability, reliability, performance, security, and fault tolerance. Functional requirements shape feature design; non-functional requirements drive architectural decisions like choosing distributed components, caching layers, and replication strategies.","Look for clear distinction with concrete examples from both categories. Strong answers explain the downstream architectural impact: e.g., a 99.99% availability SLA drives redundancy and failover design.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-003,What is scalability in system design? Explain vertical scaling and horizontal scaling in detail including their advantages disadvantages and suitable use cases.,ShortAnswer,medium,"Scalability is the ability to handle increasing workloads without unacceptable performance degradation. Vertical scaling adds more CPU/RAM/storage to one machine — simpler but hardware-limited and a single point of failure. Horizontal scaling adds more machines or instances — preferred for large distributed systems because it avoids hardware limits and supports fault isolation. Horizontal scaling is used in modern cloud-native architectures.","Expect a clear definition of scalability, accurate contrast of vertical vs horizontal, and an understanding of trade-offs. Strong answers mention statelessness as a prerequisite for horizontal scaling and give real-world examples.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-004,Explain the role of databases in system design. Discuss relational and NoSQL databases database replication indexing partitioning sharding normalization and denormalization.,ShortAnswer,hard,"Databases store persistent application data. Relational databases (MySQL, PostgreSQL) provide structured schemas, ACID transactions, and entity relationships. NoSQL databases (MongoDB, Cassandra) offer flexible schemas and high scalability. Replication creates copies on multiple servers for availability and read performance. Indexing speeds up queries but slows writes. Partitioning/sharding splits datasets across machines for scale. Normalization reduces redundancy; denormalization improves read performance at the cost of redundancy.","This is a broad question. Look for accurate definitions and trade-offs for each concept. Strong candidates explain when to choose relational vs NoSQL, and why denormalization is sometimes intentional in high-read systems.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-005,What is caching? Explain how caching improves system performance and reduces database load. Discuss common caching challenges such as cache invalidation expiration stale data and consistency.,ShortAnswer,medium,"A cache stores frequently accessed data in a faster storage layer (e.g., Redis, Memcached), avoiding repeated slow database queries. It reduces response times and offloads the database. Key challenges: cache invalidation (deciding when to remove stale entries), expiration (TTL-based removal), stale data (serving outdated information), and consistency (keeping cache aligned with the source of truth). Strategies include write-through, write-behind, and cache-aside patterns.","Look for a clear explanation of the performance benefit and an honest discussion of the consistency-performance trade-off. Strong answers name specific invalidation strategies and acknowledge that caching adds system complexity.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-006,Explain the role of load balancers and message queues in a distributed system. How do they improve scalability performance reliability and the overall user experience?,ShortAnswer,medium,"Load balancers distribute incoming traffic across multiple servers, preventing overload on any single instance — improving performance, availability, and scalability. Message queues (e.g., RabbitMQ, Kafka) enable asynchronous communication: a producer places a message and continues; a consumer processes it later. This decouples services, absorbs traffic spikes, and enables tasks like email sending, payment processing, and image processing to happen asynchronously without blocking the user.","Expect clear explanation of how both components address bottlenecks. Strong answers contrast synchronous vs asynchronous communication and explain how message queues improve resilience when downstream services are slow or temporarily unavailable.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-007,What is a distributed system? Explain its major characteristics advantages and challenges. Discuss how fault tolerance high availability replication and failure recovery can be implemented.,ShortAnswer,hard,"A distributed system runs components across multiple machines or locations, communicating over a network. Advantages: scalability, fault tolerance, geographic distribution. Challenges: network failures, latency, data inconsistency, and partial failures. Fault tolerance is achieved through redundant servers, replicated databases, automatic failover, and health checks. High availability uses multiple availability zones and load balancing. Failure recovery requires retry logic, circuit breakers, and backup systems.","Look for an understanding that distribution introduces new failure modes. Strong answers discuss the CAP theorem trade-off (consistency vs availability under partition), and give concrete implementation strategies for each property.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-008,Compare monolithic architecture and microservices architecture. Explain their advantages and disadvantages and discuss the factors that should be considered when choosing between the two approaches.,ShortAnswer,hard,"Monolithic: all functionality in one deployable unit. Advantages — simpler development, deployment, and debugging initially. Disadvantages — hard to scale individual components, slow deployments as the codebase grows. Microservices: application split into independently deployable services per business capability. Advantages — independent scaling, deployment, and team ownership. Disadvantages — network complexity, inter-service failures, distributed tracing overhead, and operational burden. Choice depends on team size, application maturity, scalability needs, and operational capability.","Expect a balanced comparison. Strong candidates avoid claiming one is always better and instead frame the answer around specific trade-offs: startup simplicity vs operational maturity, tight coupling vs network complexity.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-009,Explain the importance of security and observability in system design. Discuss authentication authorization encryption input validation logging monitoring metrics tracing alerts and health checks.,ShortAnswer,hard,"Security must be layered throughout the system. Authentication verifies identity; authorization controls access. HTTPS encrypts data in transit; encryption-at-rest protects stored data. Input validation prevents injection attacks. Observability enables operational confidence: logs capture detailed events, metrics provide performance numbers, distributed traces show how a request flows through services, alerts notify teams of anomalies, and health checks detect failing components early.","A broad question requiring coverage of both security and observability pillars. Strong answers explain why each concept matters in a distributed context — e.g., why distributed tracing is harder than logging in a monolith, or why authorization must be enforced at every service boundary.",true,3,0.3,0.4,0.7,0.7,true
system_design_advanced,System Design (Advanced),SDA-010,Design a high-level architecture for a large-scale online shopping application. Explain how you would use clients APIs load balancers application servers databases caching message queues payment services storage monitoring security and backup systems to build a scalable reliable and secure application.,ShortAnswer,hard,"Client (browser/mobile) → CDN for static assets → Load Balancer → API Gateway → Microservices (user, product, order, payment, inventory, notification). Databases: relational for orders/users (ACID), NoSQL for product catalog. Redis cache for sessions and frequent reads. Message queue (Kafka) for async events (order placed → notification, inventory update). Object storage (S3-like) for images. Payment service integration with retry logic. Monitoring via logs, metrics, and traces. Security: HTTPS, JWT auth, input validation, rate limiting. Backup and disaster recovery across availability zones.","This is a synthesis question. Look for coherent end-to-end thinking, not memorized components. Strong candidates explain WHY each component is chosen, identify trade-offs (e.g., eventual consistency in inventory), and mention failure scenarios and how the design handles them.",true,3,0.3,0.4,0.7,0.7,true
