topic_code,topic_name,question_code,question_text,question_type,difficulty,expected_answer_summary,question_prompt_notes,followup_enabled,max_followups,confidence_low,confidence_mid_start,confidence_mid_end,confidence_high,published
system_design,System Design,SD-001,What is the primary goal of system design?,ShortAnswer,easy,To convert business and technical requirements into a complete architecture that explains how the system will function reliably and at scale,"System design is the process of planning, designing, developing, and organizing different components of a software system so they work together efficiently, reliably, securely, and at scale.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-002,What is the difference between functional and non-functional requirements?,ShortAnswer,easy,"Functional requirements describe what the system should do (features like login, search, payments), while non-functional requirements describe how well it performs (scalability, availability, security, reliability)","Both types are essential in system design. Functional covers features; non-functional covers quality attributes like performance, maintainability, and cost efficiency.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-003,What does a load balancer do in a large-scale system?,ShortAnswer,easy,A load balancer distributes incoming traffic among multiple servers so that no single server becomes overloaded,"Load balancing improves performance, availability, and scalability by spreading requests across multiple application server instances.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-004,Which of the following is a non-functional requirement?,MCQ,easy,Scalability,"Non-functional requirements describe system quality attributes. Scalability, availability, reliability, performance, security, and fault tolerance are all non-functional. User registration and search are functional.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-005,Relational databases are best suited for applications that require flexible schemas and very high scalability.,TrueFalse,easy,False,"NoSQL databases are suited for flexible schemas and very large amounts of data. Relational databases are ideal for structured data, entity relationships, and strong transactional consistency.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-006,What is database sharding?,ShortAnswer,medium,Dividing large datasets across multiple machines (partitioning) so the system can handle more data and traffic,"Also called database partitioning. Sharding splits data horizontally across multiple nodes, each holding a subset. It improves scalability but adds complexity in routing queries and maintaining consistency.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-007,What is the purpose of a cache in system design?,ShortAnswer,easy,"A cache stores frequently accessed data in a faster storage layer so the system does not need to repeatedly query a slower database or external service, reducing response time and database load","Caching improves performance significantly when the same data is read often. However, it introduces challenges like cache expiration, cache invalidation, stale data, and consistency with the primary database.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-008,Which of the following is a challenge introduced by caching?,MCQ,medium,Cache invalidation and stale data,"While caching improves performance, it introduces challenges: cache expiration, cache invalidation, stale data, and keeping cached data consistent with the primary database.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-009,How does a message queue improve system design?,ShortAnswer,medium,"A message queue allows services to communicate asynchronously — one service places a message in a queue and continues work while another service processes it later, absorbing traffic spikes and decoupling components","Useful for tasks like sending emails, processing payments, generating reports, and background jobs. Message queues prevent individual services from becoming overloaded.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-010,What is the difference between vertical scaling and horizontal scaling?,ShortAnswer,medium,"Vertical scaling increases resources on an existing machine (more CPU, RAM, storage). Horizontal scaling adds more machines or service instances. Horizontal scaling is preferred for large distributed systems.","Horizontal scaling allows handling growing traffic by adding servers and is more resilient to single points of failure. Vertical scaling is simpler but has hardware limits.",true,3,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-011,Horizontal scaling is generally preferred for large distributed applications because it allows adding more servers as traffic grows.,TrueFalse,easy,True,"Horizontal scaling (adding machines) is preferred over vertical scaling (upgrading a single machine) for large distributed systems because it avoids hardware limits and single points of failure.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-012,What is fault tolerance in the context of distributed systems?,ShortAnswer,medium,Fault tolerance is the ability of a system to continue operating even when some of its components fail,"Designers use redundant servers, replicated databases, multiple availability zones, automatic failover, health checks, and backup systems to achieve fault tolerance and high availability.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-013,Which of the following best describes the role of authentication versus authorization?,MCQ,easy,Authentication determines who a user is; authorization determines what that user is allowed to do,"Authentication verifies identity (e.g., login credentials). Authorization controls access rights (e.g., role-based permissions). Both are essential layers of security in system design.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-014,What are the three pillars of observability in a distributed system?,ShortAnswer,medium,"Logs (detailed event information), metrics (numerical performance and resource usage data), and distributed traces (how a request moves through multiple services)","Observability also includes alerts, dashboards, and health checks. It allows teams to detect problems early and diagnose failures in complex distributed systems.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-015,What is eventual consistency and when is it acceptable?,ShortAnswer,hard,"Eventual consistency means different copies of data may temporarily differ but will eventually synchronize. It is acceptable when applications tolerate small delays in data updates, such as social media feeds.","Strong consistency ensures all users immediately see the latest data. Financial transactions typically require strong consistency. Eventual consistency trades immediate correctness for higher availability and performance.",true,3,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-016,What is the key advantage of a microservices architecture over a monolithic architecture?,MCQ,medium,Services can be developed deployed and scaled independently,"In microservices, each service handles one business capability and can be deployed and scaled independently. Monolithic systems are simpler to start with but harder to scale and maintain as they grow.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-017,A monolithic architecture is always preferable to microservices because it is simpler to operate.,TrueFalse,medium,False,"Monolithic systems are simpler initially but become harder to scale and deploy independently as applications grow. Microservices improve scalability and independent deployability but add operational complexity.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-018,What is a Content Delivery Network (CDN) and what problem does it solve?,ShortAnswer,medium,"A CDN stores and serves static content (images, videos, JS, CSS) from locations geographically closer to users, reducing network latency and improving page-load speed","CDNs offload static content delivery from origin servers. They are especially valuable for globally distributed user bases where network round-trip time to a central server would be high.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-019,What is rate limiting and why is it used in system design?,ShortAnswer,medium,"Rate limiting controls how many requests a user or client can make within a certain period, protecting services from accidental overload, abuse, and automated attacks","Rate limiting is a defensive technique. It prevents any single client from consuming excessive resources, ensuring fair use and protecting service availability for all users.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-020,Which of the following is a trade-off introduced by increasing database replication?,MCQ,hard,Improved availability but increased storage costs,"Increasing replication creates more copies of data for higher availability and read performance, but it increases storage costs and adds complexity in keeping replicas consistent.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-021,What should a disaster recovery plan define?,ShortAnswer,medium,"How systems and data can be restored after a major failure caused by hardware faults, software bugs, human mistakes, security incidents, or natural disasters","Disaster recovery planning includes backup strategies, RTO (Recovery Time Objective), RPO (Recovery Point Objective), and procedures for restoring service with minimal data loss.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-022,Which communication style would be most appropriate for real-time bidirectional communication between a client and server?,MCQ,hard,WebSockets,"WebSockets establish a persistent full-duplex connection between client and server, ideal for real-time applications like chat or live dashboards. REST and GraphQL follow request-response patterns; gRPC is used for service-to-service.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-023,Why is it important to consider cost when designing a large-scale system?,ShortAnswer,medium,"A technically powerful architecture may not be practical if unnecessarily expensive. Designers must balance performance, reliability, scalability, and security against infrastructure and development costs","Cloud platforms make dynamic resource allocation easy, but excessive resource usage, inefficient data transfer, and unnecessary services increase operational costs. Cost must be a design constraint alongside performance.",true,2,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-024,Database indexing can make data retrieval faster but does not affect write performance.,TrueFalse,hard,False,"Indexes speed up read queries but slow down write operations (INSERT, UPDATE, DELETE) because the index must also be updated whenever data changes. This is a key trade-off when designing indexing strategies.",false,0,0.3,0.4,0.7,0.7,true
system_design,System Design,SD-025,What is the CAP theorem trade-off in distributed systems?,ShortAnswer,hard,"Distributed systems can guarantee at most two of three properties: Consistency (all nodes see the same data), Availability (every request receives a response), and Partition Tolerance (system operates despite network splits)","The PDF covers consistency vs. availability decisions. Strong consistency may reduce performance; eventual consistency improves availability. Designers must choose based on business requirements (e.g., banking needs strong consistency).",true,3,0.3,0.4,0.7,0.7,true
